username,id,access_hash
,6659102438,1279266395587017904
,1402166047,1752311795135346736
,1893875231,-35157028169798286
,5376338405,-706537867328748440
,7926065120,-2837813252190674787
,1387762770,2256582717159449680
mir_cat19,6930240781,3230657009424978039
,7264259530,8333270669930800517
Dil_isxorimloyihasi,7449842464,4880369997886248089
,5726559716,6434752274038445508
,8109156186,2996758811608647452
Xolidaibragimova,1863869082,-2768779389170357594
,5428399959,-1495639599638970761
,6093117209,-6776016727043705353
elegantpluss,8060593737,4007203809469807972
,8475002047,772259761351435529
,7930096740,-7974360503833334813
,6558595059,9056960082549411738
S_Yu_R,6538476464,3215466190178887820
,8633410194,1413153807322207833
,1015379739,-3336297955802514110
,6119016049,7371399024728558381
,8450676637,-953727511030081718
,5444517151,6292677702567438755
,5726768787,1451637380519151279
,8228574348,-1320885158674468947
,8435363503,-4635042959453665650
,750184633,3464947137113320489
,6130566405,1795829056794768854
AIA9996,5782679224,-1867600028372080902
,6757125884,-5524334909005820676
,8041978840,-7973733441559257901
,6915519253,-4335626877193375103
,5974104252,-7153703888647150601
,6499796676,-573538264822307839
,7573488239,-9179461234865936523
,1654100014,3558365385456434715
,7283024055,7453702682770428887
,7940876078,-8089138241125594221
,6017305591,4478587068526382091
Gulnoza7919,771655721,1169456420772873723
,7680314972,-8724216714910575560
GulchiroyRaimkulovaIslomovna,7494349995,4513550728169472177
,8066827937,1945907578712308852
Gulshoda_unversalni_magazin,8017341319,-841114061613761124
Xafiza_81,575273327,3734859667999788170
,5610791238,-5903956554967895144
Dildora_19980307,5947869213,-5962402943922984148
,7442858399,7791221798343345437
,8307720434,4500359811168982894
Utkir182,381994936,-5606152707228991430
,6927971864,1090027030308147916
nur_1dd1nov_na,6317582075,9046083828999218108
,6688908839,5720646103984463040
,7692591165,4121949462628928453
Ozoda2001_20_11,8554792973,-8089299772538913031
GULI_0108,5243119006,7232907775583373560
umida_islambayeva,685179786,-7258324405729054006
staples245,6391234359,-7490659857525681989
,5851895044,6459135006083894400
,487577958,1333843111595759021
,8198582330,-6014815748054918484
,8692938358,5652378734715776002
,6454086789,-7891934291797247703
levirdjanovna,6489492142,3712472322562007425
,6532524276,-6729336567857373433
,7683895768,6148972803416178381
,8442179400,-6508465425154181491
,8471976176,-7973097691052766101
,917247875,2039179243275115981
,8421558463,-5329130974927422949
,1150107006,-8466352068631664949
,7848679820,4117162239171211049
,8472318811,-9018130235832598869
,8263295882,8271743854490553711
,8736606747,5026789036427612137
,8037664642,5283625682451476022
,5334435333,-6397042635815151642
XatamovaDildor,6685052902,2890762416402643163
,5074546812,2134754091085765769
,7680222042,-116890115199116480
,8058034104,-3751435903585062437
SirdaryoITSSeleksiya,359078695,3687028768806568692
,1820747988,-1025380911141064500
,7495462113,-6455549506216828145
,7835906055,-4947496423861019679
Muhmmadziyo,1795203705,-2949116035308350605
gulicham000,5006355531,-3723040048703026243
sbr1vnaa,6686694857,9063366050966948052
,7572744975,-5163744071225056812
,1871533096,3524003079898372009
,8313332444,-2416431850626519441
Boshbekova_Maftuna,6485959598,-5797972588126410600
,6970219879,6128658803275419042
,2090663554,-3131633400485973961
,7415200179,4749652965199876532
,5853098611,6348703226293552661
,8153800878,13206558808147582
Malika_vahobjonovna,672686906,-3641700090701307449
,5844036649,-1024595102397447880
Farzandlarim_4,6115143576,-6196057667596882577
,7260590247,11043832420814705
,8321006428,-4828620486961302453
,8484355766,7232687584653665448
,5460970942,2717314204227065685
,1593728897,-7729268289501771844
,5129742003,-9025730185352265854
,8136446140,8740838687046770157
,8418550695,-5489159667370954242
ShahnozSabina3217,1271947783,-7925621853423093849
